,name,height,wingspan,height_inches,wingspan_inches,relative
1284,David Noel,6' 4.5'',6' 9.5'',76.5,81.5,5.0
1285,Steve Novak,6' 8'',6' 9.5'',80.0,81.5,1.5
1286,Patrick O'Bryant,6' 11'',7' 5.75'',83.0,89.75,6.75
1287,Danilo Pinnock,6' 2.75'',6' 7.5'',74.75,79.5,4.75
1288,Chris Quinn,6' 0.5'',6' 5'',72.5,77.0,4.5
1289,Allan Ray,6' 1'',6' 8.5'',73.0,80.5,7.5
1290,JJ Redick,6' 4'',6' 3.25'',76.0,75.25,-0.75
1291,Antywane Robinson,6' 6.25'',7' 2.5'',78.25,86.5,8.25
1292,Brandon Roy,6' 5.25'',6' 8'',77.25,80.0,2.75
1293,Blake Schilb,6' 5.25'',6' 8.75'',77.25,80.75,3.5
1294,Mouhamed Sene,6' 11'',7' 8.5'',83.0,92.5,9.5
1295,Cedric Simmons,6' 8.25'',7' 4.25'',80.25,88.25,8.0
1296,Marcus Slaughter,6' 7'',6' 11.5'',79.0,83.5,4.5
1297,Craig Smith,6' 5.5'',6' 9.5'',77.5,81.5,4.0
1298,Steven Smith,6' 7.5'',7' 0.5'',79.5,84.5,5.0
1299,Michael Southhall,6' 9.5'',7' 4.25'',81.5,88.25,6.75
1300,Frans Steyn,7' 1.25'',7' 2.25'',85.25,86.25,1.0
1301,Curtis Stinson,6' 1.75'',6' 5'',73.75,77.0,3.25
1302,Tyrus Thomas,6' 7.25'',7' 3'',79.25,87.0,7.75
1303,Joah Tucker,6' 3.75'',6' 6.5'',75.75,78.5,2.75
1304,Ian Vouyoukas,6' 8.5'',7' 0.75'',80.5,84.75,4.25
1305,Darius Washington,5' 11.5'',6' 4'',71.5,76.0,4.5
1306,CJ Watson,6' 0.5'',6' 6'',72.5,78.0,5.5
1307,Eric Williams,6' 7.25'',7' 4.25'',79.25,88.25,9.0
1308,Shelden Williams,6' 7.5'',7' 4.25'',79.5,88.25,8.75
1309,Shawne Williams,6' 7.25'',7' 3'',79.25,87.0,7.75
1310,Marcus Williams,6' 2'',6' 7'',74.0,79.0,5.0
1311,Justin Williams,6' 7.25'',7' 1.5'',79.25,85.5,6.25
1312,Curtis Withers,6' 6'',6' 10'',78.0,82.0,4.0
